# Goxel 0.10.6
# One line per voxel
# X Y Z RRGGBB
-3 -8 0 45283c
-2 -8 0 45283c
-1 -8 0 45283c
-3 -7 0 45283c
-2 -7 0 45283c
-1 -7 0 45283c
-3 -6 0 45283c
-2 -6 0 45283c
-1 -6 0 45283c
-3 -1 0 45283c
-2 -1 0 45283c
-1 -1 0 45283c
-3 -8 1 45283c
-2 -8 1 45283c
-1 -8 1 45283c
-3 -7 1 45283c
-2 -7 1 45283c
-1 -7 1 45283c
-3 -6 1 45283c
-2 -6 1 45283c
-1 -6 1 45283c
-3 -1 1 45283c
-2 -1 1 45283c
-1 -1 1 45283c
-3 -8 2 45283c
-2 -8 2 45283c
-3 -7 2 45283c
-2 -7 2 45283c
-3 -6 2 45283c
-2 -6 2 45283c
-3 -1 2 45283c
-2 -1 2 45283c
-3 -8 3 45283c
-2 -8 3 45283c
-3 -7 3 45283c
-2 -7 3 45283c
-3 -6 3 45283c
-2 -6 3 45283c
-3 -1 3 45283c
-2 -1 3 45283c
-3 -8 4 8f563b
-2 -8 4 8f563b
-3 -7 4 8f563b
-2 -7 4 8f563b
-3 -6 4 8f563b
-2 -6 4 8f563b
-3 -1 4 8f563b
-2 -1 4 8f563b
-3 -8 5 eec39a
-2 -8 5 eec39a
-3 -7 5 eec39a
-2 -7 5 eec39a
-3 -6 5 eec39a
-2 -6 5 eec39a
-3 -1 5 eec39a
-2 -1 5 eec39a
-4 -9 6 6abe30
-3 -9 6 6abe30
-2 -9 6 6abe30
-1 -9 6 6abe30
-4 -8 6 6abe30
-3 -8 6 6abe30
-2 -8 6 6abe30
-1 -8 6 6abe30
-4 -7 6 6abe30
-3 -7 6 6abe30
-2 -7 6 6abe30
-1 -7 6 6abe30
-4 -6 6 6abe30
-3 -6 6 6abe30
-2 -6 6 6abe30
-1 -6 6 6abe30
-4 -5 6 6abe30
-3 -5 6 6abe30
-2 -5 6 6abe30
-1 -5 6 6abe30
-4 -4 6 6abe30
-3 -4 6 6abe30
-2 -4 6 6abe30
-1 -4 6 6abe30
-4 -3 6 6abe30
-3 -3 6 6abe30
-2 -3 6 6abe30
-1 -3 6 6abe30
-4 -2 6 6abe30
-3 -2 6 6abe30
-2 -2 6 6abe30
-1 -2 6 6abe30
-4 -1 6 6abe30
-3 -1 6 6abe30
-2 -1 6 6abe30
-1 -1 6 6abe30
-4 -9 7 6abe30
-3 -9 7 6abe30
-2 -9 7 6abe30
-1 -9 7 6abe30
-4 -8 7 6abe30
-3 -8 7 6abe30
-2 -8 7 6abe30
-1 -8 7 6abe30
-4 -7 7 6abe30
-3 -7 7 6abe30
-2 -7 7 6abe30
-1 -7 7 6abe30
-4 -6 7 6abe30
-3 -6 7 6abe30
-2 -6 7 6abe30
-1 -6 7 6abe30
-4 -5 7 6abe30
-3 -5 7 6abe30
-2 -5 7 6abe30
-1 -5 7 6abe30
-4 -4 7 6abe30
-3 -4 7 6abe30
-2 -4 7 6abe30
-1 -4 7 6abe30
-4 -3 7 6abe30
-3 -3 7 6abe30
-2 -3 7 6abe30
-1 -3 7 6abe30
-4 -2 7 6abe30
-3 -2 7 6abe30
-2 -2 7 6abe30
-1 -2 7 6abe30
-4 -1 7 6abe30
-3 -1 7 6abe30
